Wall time,Step,Value
1756234254.380397,0,1.1185121536254883
1756234257.2973192,1,1.0670788288116455
1756234260.3988936,2,1.0380713939666748
1756234263.5773392,3,0.9715266823768616
1756234266.521405,4,0.9309074878692627
1756234269.536451,5,0.9408392310142517
1756234272.5646167,6,0.9128661751747131
1756234275.8359663,7,0.8906516432762146
1756234278.833912,8,0.8842117190361023
1756234281.6954072,9,0.9278648495674133
1756234284.6838,10,0.8482969999313354
1756234287.6599069,11,0.8582685589790344
1756234290.786916,12,0.8417227268218994
1756234293.7643073,13,0.8591498732566833
1756234296.6608822,14,0.8453617691993713
1756234299.612218,15,0.8739966750144958
1756234302.869588,16,0.8109815716743469
1756234305.820797,17,0.8676062226295471
1756234308.690812,18,0.8232228755950928
1756234311.6339374,19,0.8039736151695251
1756234314.665876,20,0.8248710632324219
1756234317.7850432,21,0.7924292683601379
1756234320.8038504,22,0.8743642568588257
1756234323.7384505,23,0.8058432936668396
1756234326.6287165,24,0.8248770833015442
1756234329.7463615,25,0.8221762776374817
1756234332.764198,26,0.8383275270462036
1756234335.6224806,27,0.8603916168212891
1756234338.5807118,28,0.820667564868927
1756234341.493971,29,0.7995297908782959
1756234344.7991061,30,0.8143219947814941
1756234347.7295094,31,0.81624436378479
1756234350.645127,32,0.8661757707595825
1756234353.623575,33,0.8041502833366394
1756234356.8570132,34,0.8395341038703918
1756234359.9095006,35,0.799981415271759
1756234362.8677704,36,0.7741091847419739
1756234365.888807,37,0.777421236038208
1756234368.871632,38,0.794870913028717
1756234372.0113542,39,0.7649420499801636
1756234374.9497204,40,0.8576469421386719
1756234377.9562776,41,0.7863198518753052
1756234380.9453824,42,0.7917852401733398
1756234384.1617556,43,0.8056830763816833
1756234387.24367,44,0.7745647430419922
1756234390.1934638,45,0.8136953115463257
1756234393.0680778,46,0.7834494709968567
1756234396.1365576,47,0.770824670791626
1756234399.3862154,48,0.8316627740859985
1756234402.273497,49,0.8193470239639282
1756234405.2606168,50,0.879973828792572
1756234408.1714158,51,0.8143321871757507
1756234411.3576517,52,0.7929301857948303
1756234414.2896383,53,0.7913188338279724
1756234417.1432865,54,0.8142030835151672
1756234420.0304606,55,0.7421677708625793
1756234423.0599828,56,0.7416459321975708
1756234426.1849663,57,0.8180235624313354
1756234429.077142,58,0.7871314287185669
1756234432.0202684,59,0.7590437531471252
1756234434.881341,60,0.8200317621231079
1756234437.8934333,61,0.8511998057365417
1756234440.9354324,62,0.7895008325576782
1756234443.8040462,63,0.7533715963363647
1756234446.68626,64,0.7787899971008301
1756234449.6845255,65,0.750210165977478
1756234452.8622286,66,0.7592099905014038
1756234455.9166224,67,0.7707393765449524
1756234458.815413,68,0.787307858467102
1756234461.7473907,69,0.7463118433952332
1756234464.8721976,70,0.7661713361740112
1756234467.9637244,71,0.836584210395813
1756234470.9339788,72,0.7444146275520325
1756234473.881825,73,0.7394338846206665
1756234476.8664453,74,0.8296638131141663
1756234480.1185622,75,0.7734895944595337
1756234483.0737615,76,0.7638904452323914
1756234485.920071,77,0.7456833720207214
1756234488.9129086,78,0.7566707134246826
1756234491.9918742,79,0.7452995181083679
1756234494.9082694,80,0.7415610551834106
1756234497.798286,81,0.7619455456733704
1756234500.7449098,82,0.8087916970252991
1756234503.813847,83,0.7695428133010864
1756234507.0391476,84,0.8069976568222046
1756234510.0441535,85,0.7636553645133972
1756234512.97923,86,0.7976425886154175
1756234515.905611,87,0.7961519360542297
1756234519.0525048,88,0.7696892023086548
1756234522.088026,89,0.7564374804496765
1756234525.045186,90,0.7646461725234985
1756234528.009412,91,0.7348242998123169
1756234531.0547552,92,0.7484686374664307
1756234534.2152119,93,0.7485602498054504
1756234537.1494555,94,0.7590133547782898
1756234540.0702763,95,0.7551142573356628
1756234543.0447176,96,0.8633028268814087
1756234546.275997,97,0.7516666650772095
1756234549.2974353,98,0.8484272360801697
1756234552.1788762,99,0.8051336407661438
